session,bill_identifier,classification,name,party,entity_type,source_url
80,AB123,primary,Assemblywoman Connie Munk,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/4
80,AB133,primary,Assemblywoman Teresa Benitez-Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/27
80,AB135,primary,Assemblyman Richard Carrillo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/18
80,AB163,primary,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB163,primary,Senator Chris Brooks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/3
80,AB163,cosponsor,Assemblywoman Lesley Cohen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/29
80,AB163,cosponsor,Assemblywoman Rochelle Nguyen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/10
80,AB163,cosponsor,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB163,cosponsor,Assemblywoman Heidi Swank,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/16
80,AB163,cosponsor,Senator Melanie Scheible,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/9
80,AB174,primary,Assemblyman Tyrone Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/17
80,AB174,primary,Assemblywoman Bea Duran,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/11
80,AB174,primary,Assemblyman Richard Carrillo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/18
80,AB174,primary,Assemblyman Ozzie Fumo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/21
80,AB174,primary,Assemblywoman Ellen Spiegel,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/20
80,AB174,primary,Senator David Parks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/7
80,AB174,primary,Senator Julia Ratti,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/13
80,AB174,primary,Senator Yvanna Cancela,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/10
80,AB174,primary,Senator Dallas Harris,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/11
80,AB174,cosponsor,Assemblyman Alexander Assefa,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/42
