session,identifier,title,primary_sponsors,co_sponsors,abstract,final_disposition,most_recent_action,signed_into_law,governor_bound,was_textually_amended,similarity_ratio,text_change_narrative,amendments_listed,nelis_url
80,AB101,AN ACT relating to declaratory judgments; authorizing a private plaintiff to bring an action for a declaratory judgment regarding a violation of state law or a local ordinance by certain governmental entities; and providing other matters properly relating thereto.,Assemblyman Skip Daly (Democratic),,"Existing law authorizes a person to seek a declaratory judgment under certain circumstances and provides that any person interested under a deed, written contract or other writings constituting a contract, or whose rights, status or other legal relations are affected by a statute, municipal ordinance, contract or franchise may have determined any question of construction or validity arising under the instrument, statute, ordinance, contract or franchise and obtain a declaration of rights, status or other legal relations thereunder. (Chapter 30 of NRS) This bill authorizes a private plaintiff to bring an action for a declaratory judgment to determine whether the State of Nevada or a political subdivision of the State violated any applicable provision of state law or a local ordinance. However, an action may not be brought or maintained by a private plaintiff: (1) against a member of the Legislature or the Judiciary or an elected officer of the Executive Department of the State Government; or (2) if the action is based upon allegations or transactions that are the subject of a civil action or an administrative proceeding for a monetary penalty to which the State or political subdivision is already a party. If a court issues a declaratory judgment finding that any alleged action of the State or political subdivision violated any applicable provision of state law or a local ordinance, the action taken by the State or political subdivision is null and void.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6102/Overview
80,AB113,AN ACT relating to taxation; revising provisions governing the sales and use taxes imposed on the delivery or transfer of a firearm from outside this State under certain circumstances; and providing other matters properly relating thereto.,Assemblywoman Robin Titus (Republican),,"Existing federal law prohibits a person from transporting into or receiving in the state of his or her residence a firearm purchased or otherwise obtained by that person from outside that state, unless the person is licensed by the Bureau of Alcohol, Tobacco, Firearms and Explosives of the United States Department of Justice. Thus, for a resident of this State to purchase a firearm from another state, the firearm must be transferred or delivered to a person in this State who is a federally licensed firearms dealer who then transfers or delivers the firearm to the purchaser after conducting the background check required by federal law. (18 U.S.C. § 922(a)(3), (b)(3), (t)) Existing law imposes a sales tax on the gross receipts of a retailer from the sale of tangible personal property sold at retail in this State. (NRS 372.105, 374.110) Existing law also imposes a use tax on the storage, use or other consumption in this State of tangible personal property purchased from a retailer for storage, use or other consumption in this State. (NRS 372.185, 374.190) Under existing law, if an agent of an owner or former owner of tangible personal property delivers the property to a final consumer in this State pursuant to a retail sale made by an out-of-state retailer, the delivery is a retail sale in this State by the agent making the delivery. (NRS 372.050) Under these circumstances, the delivery of the property by the agent is considered a retail sale by the agent and the agent is required to impose, collect and remit the sales tax to the Department of Taxation. (NRS 372.110, 374.115) This bill provides that, in administering the sales and use taxes, the Department is prohibited from considering the delivery or transfer of a firearm from outside the State by a person in this State who is a federally licensed firearms dealer to be a sale made by the federally licensed firearms dealer if: (1) the delivery or transfer is made to facilitate the transfer of the firearm from outside the State in compliance with federal law; and (2) the sale involves the payment of the sales price for the firearm to a person other than the federally licensed firearms dealer. Because this bill provides that the delivery or transfer is prohibited from being considered a sale by the federally licensed firearms dealer, the federally licensed firearms dealer is not required to impose, collect and remit the sales tax or collect and remit the use tax on the delivery or transfer of the firearm. However, under this bill, the purchaser of the firearm is required to remit the use tax if the purchase of the firearm constitutes a retail sale by a retailer in another state.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.4, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6128/Overview
80,AB114,Revises provisions governing the prevention of suicide by pupils. (BDR S-647),Assemblyman John Ellison (Republican),,"Existing law requires the State Board of Education to adopt regulations establishing certain courses of study, including a course of study in the prevention of suicide, and the grade levels for which the courses of study apply. (NRS 389.021) Existing law authorizes the governing body of a regional training program to facilitate and coordinate access to information by teachers and administrators concerning issues related to suicide by pupils. (NRS 391A.185) This bill requires the board of trustees of each school district and the governing body of each charter school to submit to the Department of Education certain information concerning: (1) courses of study for pupils in the prevention of suicide; (2) training for teachers and administrators in the prevention of suicide among pupils; and (3) incidents of suicide, attempted suicide and suicidal ideation by pupils. This bill also requires the Department to compile that information into a report and submit that report to the Legislature.",Enacted,Chapter 125.,Yes,Yes,Yes,0.0454,The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 334.,Amendment 334,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6131/Overview
80,AB123,Revises provisions governing the requirements concerning immunizations of pupils for purposes of enrollment in school. (BDR 34-593),Assemblywoman Connie Munk (Democratic),,"Existing law generally prohibits enrolling a child in a public or private school unless the child has received certain immunizations. (NRS 392.435, 394.192) Existing law further requires a public or private school to exempt a child from those requirements if the parent or guardian of the child submits to the board of trustees of the school district or the governing body of the school, as applicable, a written statement indicating that: (1) the religious belief of the parent or guardian prohibits the immunization of the child; or (2) the child has a medical condition that does not allow the child to receive some or all of the required immunizations. (NRS 392.437, 392.439, 394.193, 394.194) Sections 3, 4, 7 and 8 of this bill require such a written statement concerning religious belief or medical condition of a child to include the name of the child and, for a child enrolled in a public school, the name of his or her school. Sections 2 and 6 of this bill require the board of trustees of a school district or the governing body of a charter school or private school to maintain a copy of each such written statement received by the board of trustees or governing body in the records of the school district, charter school or private school. Section 1 of this bill makes a conforming change. Existing law requires the board of trustees of a school district or the governing body of a charter school or private school to report to the Division of Public and Behavioral Health of the Department of Health and Human Services the exact number of pupils who have completed the required immunizations. (NRS 392.435, 394.192) Sections 2.5 and 6.5 of this bill additionally require a board of trustees or governing body to provide the Division with the exact number of pupils for whom a statement of exemption has been received. Sections 2.5 and 6.5 also require a board of trustees or governing body to notify the parent or guardian of each pupil enrolled at a school of an outbreak of a disease for which immunization is required under certain circumstances. Sections 3, 4, 7 and 8 provide that an exemption from immunization requirements that is based on religious belief or a permanent medical condition remains valid for the duration of the child's enrollment in the school district, charter school or private school, as applicable. If the medical condition of the child is not permanent, sections 4 and 8 require a statement of exemption to be submitted before the beginning of each school year for the child to remain exempt for that school year. If the parent or guardian of a child for whom such a statement has previously been submitted fails to submit such a statement before the beginning of a school year and the child has not obtained the required immunizations, sections 4 and 8 require the child to be excluded from school. Sections 5 and 9 of this bill make it a misdemeanor for a parent or guardian to refuse to remove his or her child from school if the child is required to be excluded from school for that reason.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.3, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6167/Overview
80,AB132,AN ACT relating to employment; prohibiting the denial of employment because of the presence of marijuana in a screening test taken by a prospective employee with certain exceptions; authorizing an employee to rebut the results of a screening test under certain circumstances; and providing other matters properly relating thereto.,Assemblywoman Dina Neal (Democratic); Assemblyman William McCurdy (Democratic); Assemblyman Edgar Flores (Democratic),,"Existing law establishes various unlawful employment practices. (Chapter 613 of NRS) Section 2 of this bill prohibits, with certain exceptions, an employer from denying employment to a prospective employee because the prospective employee has submitted to a drug screening test and the test indicates the presence of marijuana. Section 2 further provides that if an employer requires an employee to submit to a screening test within his or her first 30 days of employment, the employer is required to accept and give appropriate consideration to the results of an additional screening test to which the employee submitted at his or her own expense.",Enacted,Approved by the Governor. Chapter 421.,Yes,Yes,Yes,0.0033,"The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 616, Amendment 740, Amendment 858.",Amendment 616; Amendment 740; Amendment 858,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6191/Overview
80,AB136,AN ACT relating to public construction; revising the manner in which the prevailing wage is determined; lowering the estimated thresholds at or above which prevailing wage requirements apply to certain public construction projects; and providing other matters properly relating thereto.,Assemblyman Jason Frierson (Democratic); Assemblywoman Teresa Benitez-Thompson (Democratic); Assemblywoman Maggie Carlton (Democratic); Assemblyman William McCurdy (Democratic); Assemblyman Skip Daly (Democratic),Assemblyman Alexander Assefa (Democratic); Assemblywoman Shea Backus (Democratic); Assemblywoman Shannon Bilbray-Axelrod (Democratic); Assemblyman Richard Carrillo (Democratic); Assemblywoman Lesley Cohen (Democratic); Assemblywoman Bea Duran (Democratic); Assemblyman Edgar Flores (Democratic); Assemblyman Ozzie Fumo (Democratic); Assemblywoman Michelle Gorelow (Democratic); Assemblywoman Sandra Jauregui (Democratic); Assemblywoman Susie Martinez (Democratic); Assemblywoman Brittney Miller (Democratic); Assemblywoman Daniele Monroe-Moreno (Democratic); Assemblywoman Connie Munk (Democratic); Assemblywoman Dina Neal (Democratic); Assemblywoman Rochelle Nguyen (Democratic); Assemblywoman Sarah Peters (Democratic); Assemblywoman Ellen Spiegel (Democratic); Assemblywoman Heidi Swank (Democratic); Assemblyman Tyrone Thompson (Democratic); Assemblywoman Selena Torres (Democratic); Assemblyman Howard Watts (Democratic); Assemblyman Steve Yeager (Democratic),"Existing law requires that mechanics and workers employed on certain public construction projects be paid at least the wage prevailing for the type of work that the mechanic or worker performs in the county in which the public work is located. (NRS 338.020) Existing law also: (1) prescribes the manner in which the Labor Commissioner must determine the prevailing wage for such a project; and (2) requires the Labor Commissioner to set the prevailing wage for such projects of school districts and the Nevada System of Higher Education at 90 percent of the rate of prevailing wage determined in the county in which the project is located. (NRS 338.030) Section 2 of this bill eliminates the requirement to set prevailing wage for public works and other construction projects of school districts and the Nevada System of Higher Education at 90 percent of the rate of prevailing wage on other public works in the applicable county. Under existing law, any contract for a public work whose cost is $250,000 or more, including, without limitation, any contract for construction work of the Nevada System of Higher Education, is subject to the prevailing wage requirements. (NRS 338.075, 338.080) Existing law also exempts charter schools from such prevailing wage requirements. (NRS 338.080) Sections 3 and 4 of this bill lower the minimum threshold for the applicability of prevailing wage requirements from $250,000 to $100,000. Section 4 also subjects charter schools to the prevailing wage requirements. Section 1 of this bill makes a conforming change. Section 5 of this bill provides that the amendatory provisions of this bill do not apply to a public work or other public construction project awarded before July 1, 2019.",Enacted,Approved by the Governor. Chapter 174.,Yes,Yes,No,0.1295,"No amendments or reprints appear on NELIS for this bill. The enrolled PDF may look different from the introduced PDF due to formatting, but there is no evidence the substance was amended before it reached the Governor.",,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6203/Overview
80,AB144,AN ACT relating to taxes on retail sales; requiring the submission to the voters of the question whether the Sales and Use Tax Act of 1955 should be amended to provide an exemption from the tax for diapers; providing for the exemptions from certain analogous taxes if the voters approve this amendment to the Sales and Use Tax Act of 1955; and providing other matters properly relating thereto.,Assemblywoman Sandra Jauregui (Democratic); Assemblyman Richard Carrillo (Democratic),Assemblywoman Bea Duran (Democratic); Assemblyman Edgar Flores (Democratic); Assemblywoman Susie Martinez (Democratic); Assemblywoman Selena Torres (Democratic); Senator Moises Denis (Democratic),"The nonadministrative provisions of the Sales and Use Tax Act of 1955 (part of chapter 372 of NRS) were approved by the voters by a referendum and therefore cannot be amended, annulled, repealed, set aside, suspended or in any way made inoperative except by the direct vote of the people. (Nev. Const. Art. 19, § 1) Sections 2-9 of this bill require the submission of a question to the voters at the 2020 General Election of whether the Sales and Use Tax Act of 1955 should be amended to provide an exemption for diapers. Section 10 of this bill construes the term “diaper” for the purposes of the exemption to include all types of child and adult diapers. Sections 11 and 12 of this bill amend the Local School Support Tax Law to provide an identical exemption. This tax exemption becomes effective on January 1, 2021, and expires by limitation on December 31, 2050, only if the voters approve the amendment to the Sales and Use Tax Act of 1955 at the General Election in 2020. Any amendment to the Local School Support Tax Law, including exemptions, also applies to other sales and use taxes imposed under existing law. (NRS 354.705, 374A.020, 376A.060, 377.040, 377A.030, 377B.110, 543.600; various special and local acts) Therefore, if the voters approve the exemption of diapers proposed by this bill, from January 1, 2021, through December 31, 2050, diapers will be exempt from all sales and use taxes currently contemplated under existing law.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6214/Overview
80,AB145,Revises provisions governing school safety. (BDR 34-23),Assemblywoman Brittney Miller (Democratic); Assemblyman Alexander Assefa (Democratic); Assemblywoman Dina Neal (Democratic),Assemblywoman Connie Munk (Democratic),"Existing law authorizes the board of trustees of a school district to employ or appoint persons to serve as school police officers. Existing law also authorizes the board trustees of a school district to contract with a metropolitan police department or sheriff of the county, as applicable, for the provision and supervision of police services in a public school. (NRS 391.281) Section 1 of this bill requires the board of trustees of a school district to ensure that a school police officer or person who provides police services is located in each middle school, junior high school and high school during times the school is in session or school-related activities are in progress. Existing law requires the board of trustees of a school district to manage and control the school property within its district. (NRS 393.010) Section 2 of this bill requires that, upon the request of a principal of a public school, the Department of Education provide a gate or similar device that controls access to the school.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6216/Overview
80,AB146,Creates the Nevada Office of the Inspector General. (BDR 18-2),Assemblywoman Brittney Miller (Democratic); Assemblyman Alexander Assefa (Democratic),Assemblywoman Shannon Bilbray-Axelrod (Democratic); Assemblyman Skip Daly (Democratic); Assemblywoman Bea Duran (Democratic); Assemblyman Ozzie Fumo (Democratic); Assemblywoman Michelle Gorelow (Democratic); Assemblywoman Connie Munk (Democratic); Assemblywoman Sarah Peters (Democratic),"Existing law creates the Office of Finance in the Office of the Governor consisting of the Director of the Office, the Division of Internal Audits and the Budget Division. (NRS 223.400) This bill creates the Nevada Office of the Inspector General as an independent agency. Sections 2-6 of this bill define terms related to the Nevada Office of the Inspector General. Section 7 of this bill creates the Nevada Office of the Inspector General consisting of the Inspector General and any person employed in the Office. Section 7 also requires the Governor to appoint the Inspector General for a term of 4 years from a list of candidates submitted by the Legislative Commission. Section 8 of this bill requires the Inspector General to administer provisions of law governing the Office of the Inspector General. Section 9 of this bill: (1) requires the Inspector General to appoint a Deputy Inspector General and a Special Counsel who are in the unclassified service of the State; and (2) authorizes the Inspector General, within the limits of available money, to employ such persons in the classified service of the State as he or she deems necessary to provide an appropriate staff for the Office and to enter into contracts with certain professionals for professional services related to the functions of the Office. Section 10 of this bill requires the Inspector General to submit a report to the Governor and the Director of the Legislative Counsel Bureau, on at least a quarterly basis or at the Governor's request, setting forth any findings, conclusions or recommendations relating to an audit, investigation, inspection or review conducted by the Inspector General. Sections 11 and 27 of this bill transfer from the Division of Internal Audits to the Inspector General the requirement to establish a telephone number to receive information relating to abuse, fraud and waste with respect to the use of public money by state agencies. Section 12 of this bill: (1) requires a state agency or local government, upon request by the Inspector General, to cooperate with and provide assistance to the Inspector General in carrying out his or her duties; and (2) makes any person who willfully prevents, impairs or prohibits the performance of the duties of the Inspector General guilty of a category E felony. Section 13 of this bill authorizes the Inspector General to issue subpoenas. Sections 11, 14 and 21 of this bill provide for the confidentiality of: (1) any record maintained by the Inspector General during an investigation; and (2) the identity of any whistleblower. Otherwise, section 14 requires a report of the Inspector General to be made available to the public annually. Section 15 of this bill requires the Legislative Auditor to review a representative sample of the audits, investigations and reviews conducted by the Office for conformance with professional standards at least once every 3 years. Section 16 of this bill creates the Nevada Inspector General's Fund as a special revenue fund without reversion to the State General Fund. Section 17 of this bill makes it a category E felony to retaliate against certain persons who file a lawful complaint concerning fraud, waste, abuse or corruption within a state agency or local government. Existing law provides that a person commits a gross misdemeanor if he or she uses any threat, force or violence to prevent an executive or administrative officer from performing his or her duties. (NRS 197.090) Section 18 of this bill makes it a category E felony for a person to use any threat, force or violence to prevent the Inspector General or an employee of the Nevada Office of the Inspector General from performing his or her duties. Sections 19 and 20 of this bill provide that the increased penalty for assault or battery of an officer applies to an assault or battery of the Inspector General or an employee of the Nevada Office of the Inspector General. (NRS 200.471, 200.481) Section 22 of this bill makes the Inspector General and investigators employed by the Office of the Inspector General category II peace officers. Existing law requires the head of each state agency to periodically review and report to the Director of the Office of Finance whether the agency's system of internal accounting and administrative control is in compliance with the uniform system of internal accounting and administrative control adopted by the Director for state agencies. Existing law further requires the Director to submit a report on the status of internal accounting and administrative controls in state agencies to certain persons. (NRS 353A.020) Sections 23 and 24 of this bill require the Director to provide this report to the Inspector General. Section 25 of this bill requires the Governor to appoint the Inspector General on or before December 1, 2019. Section 26 of this bill provides that any provision of this bill requiring a report to be submitted to the Legislature does not expire automatically 5 years after the effective date of this bill.",Failed,"(Pursuant to Joint Standing Rule No. 14.3.1, no further action allowed.)",No,No,,,,,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6217/Overview
80,AB147,AN ACT relating to providers of health care; authorizing a physician assistant or advanced practice registered nurse to perform certain services; and providing other matters properly relating thereto.,Assemblywoman Robin Titus (Republican); Assemblywoman Maggie Carlton (Democratic); Assemblywoman Dina Neal (Democratic); Assemblyman Al Kramer (Republican); Assemblywoman Lisa Krasner (Republican),Assemblyman Alexander Assefa (Democratic); Assemblywoman Teresa Benitez-Thompson (Democratic); Assemblyman Chris Edwards (Republican); Assemblyman John Ellison (Republican); Assemblywoman Michelle Gorelow (Democratic); Assemblyman Gregory Hafen (Republican); Assemblywoman Alexis Hansen (Republican); Assemblywoman Melissa Hardy (Republican); Assemblyman Glen Leavitt (Republican); Assemblywoman Brittney Miller (Democratic); Assemblywoman Connie Munk (Democratic); Assemblyman Tom Roberts (Republican); Assemblywoman Ellen Spiegel (Democratic); Assemblywoman Jill Tolles (Republican); Assemblyman Jim Wheeler (Republican); Senator Joyce Woodhouse (Democratic),"Existing law requires a child who sustains or is suspected of sustaining an injury to the head while participating in a competitive sport or interscholastic activity or event to be immediately removed from the sport, event or activity. The child may return to the sport, event or activity if his or her parent or legal guardian provides a signed statement of a physician, physical therapist, athletic trainer or, for a competitive sport governed by an organization for youth sports other than the Nevada Interscholastic Activities Association, an advanced practice registered nurse indicating that the child is medically cleared for participation in the sport, activity or event. (NRS 385B.080, 392.452, 455A.200) Sections 1, 4 and 6 of this bill additionally authorize a physician assistant to complete such a statement. Sections 4 and 6 also authorize an advanced practice registered nurse to complete such a statement for an interscholastic activity or event or a competitive sport governed by the Nevada Interscholastic Activities Association. Existing law provides that a medical device sold to a governmental entity is exempt from sales tax regardless of whether the governmental entity or the person using the device will hold title to the device if: (1) the device is prescribed by certain providers of health care for use by the person to whom it is prescribed; (2) the device is covered by Medicaid or Medicare; and (3) the purchase of the medical device is made pursuant to a contract between the governmental entity and the seller. (NRS 372.7285, 374.731) Sections 2 and 3 of this bill provide that a medical device prescribed by a physician assistant is exempt from sales tax under the same conditions as a medical device prescribed by another eligible provider of health care. Existing law authorizes the parent or legal guardian of a pupil who has asthma, anaphylaxis or diabetes to submit a written request that the public or private school in which the pupil is enrolled allow the pupil to self-administer medication for his or her condition while on the grounds of a school, participating in an activity sponsored by a school or on a school bus. (NRS 392.425, 394.1999) If such a request concerns a pupil enrolled at a public school, the request must include certain documentation from a physician or advanced practice registered nurse. (NRS 392.425) If such a request concerns a pupil enrolled at a private school, such documentation must be completed by a physician. (NRS 394.1999) Sections 5 and 7 of this bill additionally authorize: (1) a physician assistant to complete such documentation with regard to a pupil enrolled at a public or private school; and (2) an advanced practice registered nurse to complete such documentation with regard to a pupil enrolled at a private school. The Department of Motor Vehicles is authorized to issue a special license plate, parking placard or parking sticker upon submission of an application that includes a statement from a licensed physician or advanced practice registered nurse that the applicant is a person with a disability. (NRS 482.384) The holder of a special license plate, parking placard or parking sticker may park in a parking space designated for persons who are handicapped. (NRS 484B.467) Sections 8-11 of this bill additionally authorize a physician assistant to complete the required statement. Existing law authorizes a physician assistant to perform such medical services as he or she is authorized to perform by his or her supervising physician. (NRS 630.271, 633.432) Sections 12 and 14 of this bill provide that those medical services may include ordering home health care for a patient. Section 13 of this bill additionally authorizes an advanced practice registered nurse to order home health care for a patient. Existing law authorizes a hearing aid specialist or dispensing audiologist to sell hearing aids by catalog, mail or the Internet if the hearing aid specialist or dispensing audiologist has received documentation of certain examinations from a physician or advanced practice registered nurse. (NRS 637B.242) Section 15 of this bill additionally authorizes a physician assistant to complete such documentation. Under existing law, a person who applies for employment as a driver of a taxicab must provide a certificate from a physician, advanced practice registered nurse or chiropractic physician stating that the prospective driver meets certain health requirements prescribed in federal regulations. (NRS 706.8842) Section 16 of this bill additionally authorizes a physician assistant to complete such a certificate. Section 17 of this bill requires a state and local governmental entity to update any form issued by the entity to conform to the provisions of this bill authorizing a physician assistant or advanced practice registered nurse to perform certain tasks.",Enacted,Approved by the Governor. Chapter 26.,Yes,Yes,Yes,0.6538,The enrolled bill differs from the introduced version before it reached the Governor. NELIS lists adopted amendments: Amendment 649.,Amendment 649,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Bill/6221/Overview
