session,bill_identifier,classification,name,party,entity_type,source_url
80,AB101,primary,Assemblyman Skip Daly,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/31
80,AB113,primary,Assemblywoman Robin Titus,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/38
80,AB114,primary,Assemblyman John Ellison,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/33
80,AB123,primary,Assemblywoman Connie Munk,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/4
80,AB132,primary,Assemblywoman Dina Neal,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/7
80,AB132,primary,Assemblyman William McCurdy,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/6
80,AB132,primary,Assemblyman Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/28
80,AB136,primary,Assemblyman Jason Frierson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/8
80,AB136,primary,Assemblywoman Teresa Benitez-Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/27
80,AB136,primary,Assemblywoman Maggie Carlton,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/14
80,AB136,primary,Assemblyman William McCurdy,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/6
80,AB136,primary,Assemblyman Skip Daly,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/31
80,AB136,cosponsor,Assemblyman Alexander Assefa,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/42
80,AB136,cosponsor,Assemblywoman Shea Backus,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/37
80,AB136,cosponsor,Assemblywoman Shannon Bilbray-Axelrod,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/34
80,AB136,cosponsor,Assemblyman Richard Carrillo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/18
80,AB136,cosponsor,Assemblywoman Lesley Cohen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/29
80,AB136,cosponsor,Assemblywoman Bea Duran,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/11
80,AB136,cosponsor,Assemblyman Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/28
80,AB136,cosponsor,Assemblyman Ozzie Fumo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/21
80,AB136,cosponsor,Assemblywoman Michelle Gorelow,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/35
80,AB136,cosponsor,Assemblywoman Sandra Jauregui,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/41
80,AB136,cosponsor,Assemblywoman Susie Martinez,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/12
80,AB136,cosponsor,Assemblywoman Brittney Miller,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/5
80,AB136,cosponsor,Assemblywoman Daniele Monroe-Moreno,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/1
80,AB136,cosponsor,Assemblywoman Connie Munk,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/4
80,AB136,cosponsor,Assemblywoman Dina Neal,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/7
80,AB136,cosponsor,Assemblywoman Rochelle Nguyen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/10
80,AB136,cosponsor,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB136,cosponsor,Assemblywoman Ellen Spiegel,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/20
80,AB136,cosponsor,Assemblywoman Heidi Swank,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/16
80,AB136,cosponsor,Assemblyman Tyrone Thompson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/17
80,AB136,cosponsor,Assemblywoman Selena Torres,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/3
80,AB136,cosponsor,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB136,cosponsor,Assemblyman Steve Yeager,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/9
80,AB144,primary,Assemblywoman Sandra Jauregui,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/41
80,AB144,primary,Assemblyman Richard Carrillo,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/18
