session,bill_identifier,vote_kind,chamber_or_committee,motion,date,result,voter_name,vote,party,party_source,minutes_url
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Cohen, Lesley",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Edwards, Chris",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Ellison, John",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Hafen, Gregory",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Hansen, Alexis",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Hardy, Melissa",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Kramer, Al",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Krasner, Lisa",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Leavitt, Glen",yea,Republican,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"McCurdy, William",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Munk, Connie",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB113,floor_final_passage,Assembly (As Introduced),Final Passage,,,"Nguyen, Rochelle",yea,Democratic,nelis_legislator_directory,
