session,bill_identifier,classification,name,party,entity_type,source_url
80,AB163,primary,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB163,primary,Senator Chris Brooks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/3
80,AB163,cosponsor,Assemblywoman Lesley Cohen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/29
80,AB163,cosponsor,Assemblywoman Rochelle Nguyen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/10
80,AB163,cosponsor,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB163,cosponsor,Assemblywoman Heidi Swank,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/16
80,AB163,cosponsor,Senator Melanie Scheible,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/9
80,AB233,primary,Assemblyman Al Kramer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/40
80,AB233,primary,Assemblywoman Melissa Hardy,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/22
80,AB233,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/19
80,AB233,primary,Senator David Parks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/7
80,AB233,cosponsor,Assemblyman Gregory Hafen,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/36
80,AB233,cosponsor,Senator James Settelmeyer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/17
80,AB265,primary,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/24
80,AB265,primary,Assemblywoman Heidi Swank,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/16
80,AB265,primary,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/15
80,AB265,primary,Senator Chris Brooks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/3
80,AB265,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/19
80,AB265,cosponsor,Senator Melanie Scheible,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/9
80,AB30,primary,"Assembly Committee on Natural Resources, Agriculture, and Mining",,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/235/Overview
80,AB51,primary,"Assembly Committee on Natural Resources, Agriculture, and Mining",,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/235/Overview
80,AB62,primary,"Assembly Committee on Natural Resources, Agriculture, and Mining",,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/235/Overview
80,AB95,primary,"Assembly Committee on Natural Resources, Agriculture, and Mining",,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/235/Overview
80,SB140,primary,Senate Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/225/Overview
80,SB150,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/19
80,SB150,primary,Senator James Settelmeyer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/17
80,SB150,primary,Senator Joseph Hardy,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/12
80,SB150,primary,Assemblyman John Ellison,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/33
80,SB150,cosponsor,Senator Ira Hansen,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/14
80,SB232,primary,Senator James Settelmeyer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/17
80,SB236,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/19
80,SB236,primary,Senator Chris Brooks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/3
80,SB236,cosponsor,Senator Ira Hansen,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/14
80,SB250,primary,Senator James Settelmeyer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/17
80,SB250,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/19
80,SB250,primary,Senator Joseph Hardy,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/12
80,SB250,cosponsor,Senator Ira Hansen,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/14
80,SB250,cosponsor,Senator Heidi Seevers Gansert,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/15
80,SB423,primary,Senator James Ohrenschall,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/21
80,SB433,primary,Senate Committee on Judiciary,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/222/Overview
80,SB47,primary,Senate Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/225/Overview
80,SB499,primary,Senate Committee on Finance,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/218/Overview
80,SB507,primary,Senate Committee on Finance,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/218/Overview
80,SB509,primary,Senate Committee on Finance,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/218/Overview
80,SB547,primary,Senator Chris Brooks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/3
80,SB547,primary,Senator Nicole Cannizzaro,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/6
80,SB547,primary,Senator Pat Spearman,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/1
80,SB547,primary,Senator Yvanna Cancela,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/10
80,SB547,primary,Senator David Parks,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/7
80,SB547,primary,Assemblyman Jason Frierson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/8
80,SB547,primary,Assemblywoman Daniele Monroe-Moreno,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/80th2019/1
80,SB547,cosponsor,Senator Moises Denis,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/2
80,SB547,cosponsor,Senator Marilyn Dondero Loop,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/8
80,SB547,cosponsor,Senator James Ohrenschall,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/21
80,SB547,cosponsor,Senator Julia Ratti,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/13
80,SB547,cosponsor,Senator Marcia Washington,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/4
80,SB547,cosponsor,Senator Joyce Woodhouse,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/80th2019/5
80,SB76,primary,Senate Committee on Growth and Infrastructure,,organization,https://www.leg.state.nv.us/App/NELIS/REL/80th2019/Committee/231/Overview
81,AB146,primary,Assemblywoman Sarah Peters,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/24
81,AB15,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/343/Overview
81,AB333,primary,Assemblywoman Lisa Krasner,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/26
81,AB333,primary,Assemblyman Tom Roberts,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/13
81,AB333,cosponsor,Assemblyman John Ellison,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/33
81,AB333,cosponsor,Assemblywoman Melissa Hardy,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/22
81,AB333,cosponsor,Assemblyman Philip P.K. O’Neill,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/40
81,AB354,primary,Assembly Committee on Ways and Means,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/337/Overview
81,AB356,primary,Assembly Committee on Ways and Means,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/337/Overview
81,AB465,primary,Assembly Committee on Ways and Means,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/337/Overview
81,AB5,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/343/Overview
81,AB6,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/343/Overview
81,AJR2,primary,Assembly Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/343/Overview
81,AJR3,primary,Assemblywoman Cecelia González,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/16
81,AJR3,primary,Assemblyman Howard Watts,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/15
81,AJR3,primary,Assemblyman Steve Yeager,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/9
81,AJR3,primary,Assemblywoman Lesley Cohen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/29
81,AJR3,cosponsor,Assemblywoman Natha Anderson,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/30
81,AJR3,cosponsor,Assemblywoman Tracy Brown-May,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/42
81,AJR3,cosponsor,Assemblyman Edgar Flores,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/28
81,AJR3,cosponsor,Assemblywoman Brittney Miller,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/5
81,AJR3,cosponsor,Assemblywoman Rochelle Nguyen,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/10
81,AJR3,cosponsor,Assemblywoman Selena Torres,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/3
81,AJR3,cosponsor,Senator Fabian Donate,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/10
81,SB149,primary,Senate Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/349/Overview
81,SB155,primary,Senate Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/349/Overview
81,SB205,primary,Senator Moises Denis,Democratic,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/2
81,SB216,primary,Senator Scott Hammond,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/18
81,SB216,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/19
81,SB216,primary,Senator Keith Pickard,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/20
81,SB216,cosponsor,Senator Joseph Hardy,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/12
81,SB216,cosponsor,Senator James Settelmeyer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/17
81,SB238,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/19
81,SB33,primary,Senate Committee on Natural Resources,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/349/Overview
81,SB67,primary,Senate Committee on Government Affairs,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/334/Overview
81,SB98,primary,Senator James Settelmeyer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/17
81,SB98,primary,Senator Pete Goicoechea,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/19
81,SB98,primary,Assemblyman Jim Wheeler,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/81st2021/39
81,SB98,cosponsor,Senator Carrie Buck,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/5
81,SB98,cosponsor,Senator Ben Kieckhefer,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/16
81,SJR1,primary,Senate Committee on Judiciary,,organization,https://www.leg.state.nv.us/App/NELIS/REL/81st2021/Committee/329/Overview
82,AB186,primary,Assemblywoman Heidi Kasama,Republican,person,https://www.leg.state.nv.us/App/Legislator/A/Assembly/82nd2023/2
