session,bill_identifier,vote_kind,chamber_or_committee,motion,date,result,voter_name,vote,party,party_source,minutes_url
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Cohen, Lesley E.",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Duran, Bea",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"McCurdy, William, II",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Munk, Connie",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Nguyen, Rochelle T.",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Peters, Sarah",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Smith, Greg",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Swank, Heidi",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Thompson, Tyrone",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Torres, Selena",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Watts, Howard",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Yeager, Steve",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Edwards, Chris Deputy",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Ellison, John C. Co-Deputy",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Hafen, Gregory T., II",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Hansen, Alexis",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Hardy, Melissa",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Kramer, Al",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Krasner, Lisa",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Leavitt, Glen",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Roberts, Tom Co-Deputy",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Titus, Robin L. Deputy",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Tolles, Jill",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Wheeler, Jim",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Hambrick, John",excused,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 16, 2019",,"Spiegel, Ellen B.",excused,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Brooks, Chris",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Cancela, Yvanna D.",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Cannizzaro, Nicole J.",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Denis, Moises (Mo)",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Dondero Loop, Marilyn",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Harris, Dallas",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Kieckhefer, Ben",yea,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Ohrenschall, James",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Parks, David R.",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Ratti, Julia",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Scheible, Melanie",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Seevers Gansert, Heidi",yea,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Spearman, Pat",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Woodhouse, Joyce Chief",yea,Democratic,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Goicoechea, Pete",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Hammond, Scott",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Hansen, Ira",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Hardy, Joseph (Joe) P.",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Pickard, Keith F.",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Settelmeyer, James A.",nay,Republican,nelis_legislator_directory,
80,AB163,floor_final_passage,Senate (2nd Reprint),Final Passage,"May 20, 2019",,"Washington, Marcia L.",excused,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Assefa, Alexander",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Backus, Shea",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Benitez-Thompson, Teresa",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Bilbray-Axelrod, Shannon",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Carlton, Maggie",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Carrillo, Richard",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Cohen, Lesley E.",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Daly, Skip",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Duran, Bea",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Edwards, Chris Deputy",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Ellison, John C. Co-Deputy",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Flores, Edgar",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Frierson, Jason",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Fumo, Ozzie",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Gorelow, Michelle",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Hafen, Gregory T., II",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Hansen, Alexis",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Hardy, Melissa",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Jauregui, Sandra",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Kramer, Al",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Krasner, Lisa",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Leavitt, Glen",yea,Republican,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Martinez, Susie",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"McCurdy, William, II",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Miller, Brittney",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Monroe-Moreno, Daniele",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Munk, Connie",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Neal, Dina",yea,Democratic,nelis_legislator_directory,
80,AB233,floor_final_passage,Assembly (1st Reprint),Final Passage,"Apr 18, 2019",,"Nguyen, Rochelle T.",yea,Democratic,nelis_legislator_directory,
