id,bill_id,note,date,classification,extras
587589f2-665e-418a-92b5-ab089a5ab6ad,ocd-bill/90a787b8-ffda-447d-9130-98306147ebbd,Amendment #2021-0238h,,,{}
3058e7c5-9d76-4e27-a1be-1aa626df699f,ocd-bill/70098049-780c-4501-8d25-817f8af4cfb4,Amendment #2021-0396h,,,{}
22a65f76-8353-4391-831f-4ed5718eea4d,ocd-bill/6f02866e-f44c-45d5-9e44-47064e683c57,Amendment #2021-2116h,,,{}
cb6bb5e6-c9ba-412f-a7e3-9326be38604d,ocd-bill/3b6ebce6-3d05-4aa2-b0aa-4064a684c27d,Amendment #2021-1060s,,,{}
8d299ec2-56ae-4be8-9c29-dc98e45a7dd3,ocd-bill/3dde17c4-77de-4cea-b4a8-90c85d70b799,Amendment #2021-1133s,,,{}
276d5340-81b7-45a6-9598-3e7d5684a371,ocd-bill/1a3622c5-54e1-42d3-9b87-e03335f6f7e9,Amendment #2021-0970s,,,{}
179ae914-aab1-4af2-abc5-fb8472347406,ocd-bill/3228830f-9b5c-490e-bd28-3a63a3447970,Amendment #2021-0758h,,,{}
7306f81f-3736-42e7-908f-2a1c18909244,ocd-bill/6e959b4c-e441-4339-bd18-e0dfecc841b0,Amendment #2021-1328h,,,{}
71fb4988-717f-4cf4-ad01-edffe3b178d2,ocd-bill/f48146af-9f46-4b72-99f9-4f01ae5b2d2f,Amendment #2021-0513h,,,{}
ae5f0525-2884-45bb-ac08-d51313b3594f,ocd-bill/ff087863-6ef9-49e9-95ce-9b3f07bbf4a3,Amendment #2021-0964h,,,{}
f2659ab9-28ca-4a81-9669-e97126f6674e,ocd-bill/3b18201a-e59c-4644-ae54-6607d00e1eec,Amendment #2021-0268h,,,{}
3b8d51ec-b7b5-427b-be39-b24981a6ec28,ocd-bill/eeae5574-9c1b-42b3-96fc-45027709a97b,Amendment #2021-2239h,,,{}
869e464b-6710-45cc-8fa0-da30276e9dab,ocd-bill/dc434536-4323-4a53-94dc-cb1132511302,Amendment #2021-2249h,,,{}
66bf7d1d-afe3-42f4-ac01-c53e208e43e5,ocd-bill/83c19c32-f4cb-4151-ab33-d53fe1fbc76c,Amendment #2021-0690h,,,{}
0fe5c311-ed31-43a2-8c0a-6508137f9f61,ocd-bill/9bf6d513-dd06-4dbd-9ceb-77d3ecc016c9,Amendment #2021-2200h,,,{}
97fcbaf4-efb6-4ef3-8cc0-9f8d214c28db,ocd-bill/42f6741a-9f51-48d8-97d1-75d84da95992,Amendment #2021-1142s,,,{}
fe421171-a10d-47aa-aa00-7e67be32b423,ocd-bill/b07e6353-13a1-4399-a0f2-b584cf947695,Amendment #2021-0067h,,,{}
2a2774cc-80d7-4a97-9bbe-bf8355b93020,ocd-bill/fbf5ad4b-3624-4358-8f7f-dbb6c03f2875,Amendment #2021-0369h,,,{}
02acd9db-56a8-41d4-bec6-1e03269ca04c,ocd-bill/9ecf8dad-02cf-41b6-b6a9-89f821c0ad20,Amendment #2021-0079h,,,{}
544ec732-53e5-4947-9f72-96b86e4c4dc7,ocd-bill/f7121772-f45c-48a4-9fb2-e061c73a5680,Amendment #2021-2068e,,,{}
966835e9-86b9-4a20-80d0-9ea5f81441ec,ocd-bill/384f5128-67f5-4b7f-91c6-bafcfdf14b52,Amendment #2021-2222s,,,{}
14868bcd-bf23-4a9d-8a7b-3a415f78c6e1,ocd-bill/350f0633-7e69-4cc5-9445-e1f48a77b915,Amendment #2021-2140h,,,{}
001fb849-6563-48a6-8546-6d8fd96ccbca,ocd-bill/6b3366a1-7c17-4950-8c78-416f1ef3b0f8,Amendment #2021-1678s,,,{}
cb4718d5-ffb9-463e-9359-500da16deee0,ocd-bill/40c5cf87-0436-4d04-a4f0-827b987ca2c1,Amendment #2021-1778s,,,{}
c5284679-7822-439f-b104-9a5b1056bc69,ocd-bill/ce758dd1-6c71-4ce8-978c-1f543af734c0,Amendment #2021-1169s,,,{}
d0bf28fa-1732-45a2-8c0d-4f99e45122f6,ocd-bill/898e9f1e-32e5-4513-aa2c-54c4c2db9725,Amendment #2021-1311s,,,{}
bef4a80f-5099-4a9c-8fb0-577358e0f053,ocd-bill/55bc9e74-3fc8-40e9-9513-2bf03e7d647b,Amendment #2021-2185h,,,{}
cf9bf43c-7ebb-4cfe-b791-5ae060384ce2,ocd-bill/7ecb7b1b-de49-4f9f-b979-33442c5a6d58,Amendment #2021-0616h,,,{}
ce10abdb-cfe9-4e41-9a23-fa594d83418e,ocd-bill/06cb2d22-d5ae-4e44-a2f0-591897ca15b2,Amendment #2021-0692h,,,{}
d54f048a-5c34-4b48-b63d-ecd776749ec5,ocd-bill/9d295955-c5b9-49fa-be1c-0ad4eeeea7f2,Amendment #2021-0473h,,,{}
