id,vote_event_id,option,value
3c799c77-9ebe-4c8c-bf8b-e3b990d4ca71,ocd-vote/2467c760-bc0b-4da3-9c49-b4acc2566c7b,no,7
12129b04-8024-4b8b-952f-a836039304f8,ocd-vote/2467c760-bc0b-4da3-9c49-b4acc2566c7b,yes,17
de1aec63-6c61-4621-8da4-3a18766bafa6,ocd-vote/45e28c4c-8428-4009-ac75-c39d387f9096,other,19
25af4252-52ce-433a-9e52-b01d00e6ec12,ocd-vote/45e28c4c-8428-4009-ac75-c39d387f9096,no,193
dba4404b-3638-446a-8324-2c90432eeb15,ocd-vote/45e28c4c-8428-4009-ac75-c39d387f9096,yes,182
60e52c12-2a9d-44dd-b70b-6384f0ec3274,ocd-vote/8cb46cb2-99e2-4fd9-84c5-083d20dfc477,other,27
2b904e9e-c5b4-445a-9c52-b787af503d16,ocd-vote/8cb46cb2-99e2-4fd9-84c5-083d20dfc477,no,78
cfb4b0c3-35a2-4e0e-900a-3dd6c545c657,ocd-vote/8cb46cb2-99e2-4fd9-84c5-083d20dfc477,yes,289
c3be1c48-a80e-4ce2-8d48-dec5e52c5815,ocd-vote/27bf52c8-b09b-42ca-8601-da8d0a3e37b8,other,19
c8e9eae0-709a-43f3-92e2-ccab6b9af6ad,ocd-vote/27bf52c8-b09b-42ca-8601-da8d0a3e37b8,no,178
98c927aa-331c-4a9e-b7d5-2dfab89c4f47,ocd-vote/27bf52c8-b09b-42ca-8601-da8d0a3e37b8,yes,198
9f66123d-423e-4646-b903-6f596df00dd4,ocd-vote/ed7eb9de-a13a-4a40-ab36-be1c3a4cb103,other,45
a20a089d-9198-4b74-8918-0fe4d22e2e87,ocd-vote/ed7eb9de-a13a-4a40-ab36-be1c3a4cb103,no,147
1980b771-7b98-4f9f-b448-8d12302c89cd,ocd-vote/ed7eb9de-a13a-4a40-ab36-be1c3a4cb103,yes,202
271d3032-e51e-424a-99fd-08cd4064504c,ocd-vote/1f88fbcf-5272-4cf9-baec-e3db6dbae678,no,0
fb3ef4c7-9780-491c-84ea-2b28e88229b1,ocd-vote/1f88fbcf-5272-4cf9-baec-e3db6dbae678,yes,24
423962a5-0c07-4256-8dba-a3d2e7f2f431,ocd-vote/cab94dd7-d859-41b7-9bed-737d54f83830,no,10
233c4b66-2ce9-4c7a-b9f5-b751ccd6f3b8,ocd-vote/cab94dd7-d859-41b7-9bed-737d54f83830,yes,14
cbfa5fbd-183e-4be0-b4d7-9b3899d6e139,ocd-vote/44832760-efd3-4617-a524-56a26b4f73f6,no,0
99f24c60-e72f-455e-b976-7600d170431b,ocd-vote/44832760-efd3-4617-a524-56a26b4f73f6,yes,24
b214f028-5fea-4fc8-9ba3-0ce8e911fbad,ocd-vote/8da21b21-6e18-45de-9105-90bbbd4eff67,no,0
ef931d21-a6b9-4fac-8f2c-a44d30ef6130,ocd-vote/8da21b21-6e18-45de-9105-90bbbd4eff67,yes,24
65aa838d-5067-47f4-bc7f-d871cc66482d,ocd-vote/1565930e-172c-43bd-8375-4642ba201449,other,26
48b83ed0-3df9-4f27-aeba-6e1516a1b003,ocd-vote/1565930e-172c-43bd-8375-4642ba201449,no,167
e86f3ebf-10b8-4a2c-935e-88c9d48ec889,ocd-vote/1565930e-172c-43bd-8375-4642ba201449,yes,202
141c871a-2aea-45aa-8791-266091217a06,ocd-vote/d6cdfcad-32f5-4283-934f-af3d217705a4,no,10
229dcfc2-4052-40bc-bd58-929f53ff5188,ocd-vote/d6cdfcad-32f5-4283-934f-af3d217705a4,yes,14
110b2925-85e7-4caa-a7f0-22d81fa856a0,ocd-vote/a7ad5c3e-edde-4d48-82fd-db246a1710da,no,0
a23d788f-0995-4469-8db5-bf966dfe3e7f,ocd-vote/a7ad5c3e-edde-4d48-82fd-db246a1710da,yes,24
4d5ec99f-b4c5-4439-810b-0acda39a8600,ocd-vote/33a07202-0a25-4332-b609-55824eb8ab55,other,39
96c354a7-fca4-4f34-a9b7-d81bc5425d92,ocd-vote/33a07202-0a25-4332-b609-55824eb8ab55,no,169
a4ea127a-bee0-450b-a3b4-2ec81334337c,ocd-vote/33a07202-0a25-4332-b609-55824eb8ab55,yes,188
8da14cca-82f9-453c-85f9-cbee8ca089ee,ocd-vote/3d8fa10c-cedf-4fa9-b493-3e5e1cee9f14,no,0
e8d48dfd-4665-47a6-bb9a-431fe4c6a9ac,ocd-vote/3d8fa10c-cedf-4fa9-b493-3e5e1cee9f14,yes,24
c8ab0bc4-4f8c-4908-9569-c7f569ee32b6,ocd-vote/08b5dd89-9376-46b2-ae1e-130eaf8ca670,no,0
8249f811-e54e-46cc-89cf-710c51f7105a,ocd-vote/08b5dd89-9376-46b2-ae1e-130eaf8ca670,yes,24
8aad939c-0297-4141-b347-2193b727add2,ocd-vote/919b5a6e-ef44-4e87-9e6f-d38f8c7aaa9b,no,0
bcf4e13d-53db-453f-b92c-f38270a5b945,ocd-vote/919b5a6e-ef44-4e87-9e6f-d38f8c7aaa9b,yes,24
aa04d9b2-aa02-4cf0-87fa-ee1eaff13169,ocd-vote/7d45720e-79c2-4015-a352-c715aaa54b0a,other,21
2cea131a-5748-42ba-8414-f091c9ad7f17,ocd-vote/7d45720e-79c2-4015-a352-c715aaa54b0a,no,163
ac825c43-6070-4bd7-bd89-7fe1442b73ac,ocd-vote/7d45720e-79c2-4015-a352-c715aaa54b0a,yes,210
3b9688be-a1c0-451a-82e0-00e330ea48a1,ocd-vote/342a9532-f4b9-4618-a83e-3733873ee80d,other,20
60a24ba9-b099-4d26-bff3-aca0098679ce,ocd-vote/342a9532-f4b9-4618-a83e-3733873ee80d,no,187
a8cdc724-a119-42b5-b02f-e0e10f174575,ocd-vote/342a9532-f4b9-4618-a83e-3733873ee80d,yes,188
92dd72ec-cb56-4a3b-b328-1321810558b8,ocd-vote/e0bf3777-af12-4aa8-a887-401ba643199d,no,0
9cc8a5c3-2da7-419c-a352-99e09365e1c5,ocd-vote/e0bf3777-af12-4aa8-a887-401ba643199d,yes,24
f44f2cf7-cb3d-4ac7-901a-7e7c47817e25,ocd-vote/a7bcbcce-c97e-4e6c-b9d2-b4f6e170d415,no,1
65049c39-f6a5-4068-a1cc-6920618a4a50,ocd-vote/a7bcbcce-c97e-4e6c-b9d2-b4f6e170d415,yes,23
fd73505a-bd53-43b0-bbb0-67af8652749e,ocd-vote/0a8dad34-cdd2-495b-9fd9-0c71f61dc0ac,other,47
a1fcd45b-7dbf-4647-be6a-58caed6f45ed,ocd-vote/0a8dad34-cdd2-495b-9fd9-0c71f61dc0ac,no,164
2665407a-7123-4dc4-8482-f82a4a6d8b1a,ocd-vote/0a8dad34-cdd2-495b-9fd9-0c71f61dc0ac,yes,183
9b2d545b-b0f1-4946-8c6c-ecc5790998b3,ocd-vote/cdadbb73-21c3-41bc-a98d-eaade84d39fb,other,1
3412b7c3-f4db-4872-94fe-3fd09ef0cfb4,ocd-vote/cdadbb73-21c3-41bc-a98d-eaade84d39fb,no,3
3e26f009-b671-40ee-9e97-169175b3e982,ocd-vote/cdadbb73-21c3-41bc-a98d-eaade84d39fb,yes,20
9abcdfc0-73f9-4596-986f-cb0581838994,ocd-vote/f6b2dafb-bf88-4595-8f06-3045c3f2c603,other,50
fed9c7e9-4530-4761-bf27-f8b1d7e69363,ocd-vote/f6b2dafb-bf88-4595-8f06-3045c3f2c603,no,155
15027192-fd6e-4061-b00e-50f049dd4940,ocd-vote/f6b2dafb-bf88-4595-8f06-3045c3f2c603,yes,190
97b350fc-f72e-4ee6-a95d-0f76c2830e05,ocd-vote/c98090e2-8d21-420c-b5a3-26ad1642737e,no,0
38b23da4-431a-4ff6-b5a0-547273346d52,ocd-vote/c98090e2-8d21-420c-b5a3-26ad1642737e,yes,24
54713e5f-1b5f-425a-994f-da0421d7886b,ocd-vote/1d69f450-8fae-460d-85c0-9515f7b9e7fc,no,0
4af1eba1-3c21-4d0e-84e7-1582842860b5,ocd-vote/1d69f450-8fae-460d-85c0-9515f7b9e7fc,yes,24
e877ac5a-cf95-4a94-91c8-d7f81540caa3,ocd-vote/b48e2c6c-7355-4219-b265-50fda06b9470,no,1
8c1319ce-ac4f-4b8f-969e-ce915a6c1aaf,ocd-vote/b48e2c6c-7355-4219-b265-50fda06b9470,yes,23
c2d4b4e3-86fc-46a2-912d-539abad254a6,ocd-vote/fa7b1e68-d5ce-4e7c-89d4-42762e4887fc,other,20
e69965c3-795b-41fb-85f4-48f81629882e,ocd-vote/fa7b1e68-d5ce-4e7c-89d4-42762e4887fc,no,176
5604567f-ee00-4771-b71e-ce8dccefaab5,ocd-vote/fa7b1e68-d5ce-4e7c-89d4-42762e4887fc,yes,198
bd3270df-f785-42c7-bc30-d574d632e02b,ocd-vote/bed71590-55e6-4696-b9d3-8fc12fb95de1,no,0
6fd92d00-c192-405b-a2b1-45fc25a79c2e,ocd-vote/bed71590-55e6-4696-b9d3-8fc12fb95de1,yes,24
a4282655-514a-4dfa-8488-20320a1e254d,ocd-vote/7ca74be8-35b2-4531-8ddf-1aeb3f28fbdb,no,1
d357136b-1804-4e8e-a9df-b5384d28013f,ocd-vote/7ca74be8-35b2-4531-8ddf-1aeb3f28fbdb,yes,23
f77501b2-da95-4835-a3b9-e1e6ab024982,ocd-vote/0c400e7d-0ddc-41ea-8776-e1790986a73e,no,0
ad09d765-4298-49fe-83ba-0b06f925c39b,ocd-vote/0c400e7d-0ddc-41ea-8776-e1790986a73e,yes,24
388f44b3-b605-4db5-a3c9-8aaf1645bc16,ocd-vote/bf24b2f8-df27-4c76-885c-5a48440685fd,no,1
d75a0798-cc44-4ee7-90a4-a0aab8bf721b,ocd-vote/bf24b2f8-df27-4c76-885c-5a48440685fd,yes,23
26f23c14-3822-46af-8c27-cd7292548163,ocd-vote/12a42c14-c47b-4183-964a-1922e5847e75,no,0
c14f3d92-6df0-4d4d-b194-60f63119a9c3,ocd-vote/12a42c14-c47b-4183-964a-1922e5847e75,yes,24
a5996941-2556-4183-950b-c186c8040159,ocd-vote/badaa612-3249-4b26-b8a6-3f63ec1b2c10,no,0
b7bcdd62-8968-4477-949a-554fc73d98cd,ocd-vote/badaa612-3249-4b26-b8a6-3f63ec1b2c10,yes,24
9f4ee04e-f97b-4be2-ae93-23b496a3be34,ocd-vote/06f4ed2e-d3f3-48c5-99f3-7568c62ed196,no,0
ba8f3485-c93b-4a9d-90f9-04dca8dde214,ocd-vote/06f4ed2e-d3f3-48c5-99f3-7568c62ed196,yes,24
f6d41f81-01b1-4235-8cb0-71a784a932d8,ocd-vote/757311b6-6004-4229-8635-282f13f87da0,no,9
c65bc7d3-63b1-4b04-9f1b-d02c3a40d789,ocd-vote/757311b6-6004-4229-8635-282f13f87da0,yes,15
215f56bd-4690-40b9-9202-33cf013f23d7,ocd-vote/e9ddb6de-d953-4c96-a58c-b194702d6c3b,no,8
7fb019ae-7ca6-4fc3-9dac-821203549e4a,ocd-vote/e9ddb6de-d953-4c96-a58c-b194702d6c3b,yes,16
9af93425-2330-4e3d-afab-2b71980f8097,ocd-vote/87e68d9d-ad33-4c61-be71-b8dac6f89b8c,no,0
fb11c275-3beb-4a89-a111-088bcad20c93,ocd-vote/87e68d9d-ad33-4c61-be71-b8dac6f89b8c,yes,24
ff966175-b0fb-4e72-900e-34fe07355636,ocd-vote/a0e83635-93b7-42d4-b251-87de526e5164,no,1
02412e85-eb02-4e1d-b9cf-dc7c0fbd8ec3,ocd-vote/a0e83635-93b7-42d4-b251-87de526e5164,yes,23
219ee8cc-48b1-41d2-91d6-f002b0cbf08c,ocd-vote/268812ca-88c8-49dc-bc8a-34a8a7325c02,no,1
a01d52b4-eee6-4493-a2b7-6ba4e0a2f25c,ocd-vote/268812ca-88c8-49dc-bc8a-34a8a7325c02,yes,23
b035eb3d-2487-4484-947e-b0643e4e7d2c,ocd-vote/e4a817a4-c6d9-4b56-a12c-8d23c4a06d0a,no,1
d72ae840-46b0-430f-bd1b-f94e6257c297,ocd-vote/e4a817a4-c6d9-4b56-a12c-8d23c4a06d0a,yes,23
a5b4651c-cad6-4f0a-9875-0491c84aefd9,ocd-vote/7d47afe6-b327-4190-8f27-563a946e7be2,other,1
e2f5a3df-994c-491f-a684-d4731f9ec8c1,ocd-vote/7d47afe6-b327-4190-8f27-563a946e7be2,no,14
2d55cd70-ece5-4d3d-8842-52aae414115c,ocd-vote/7d47afe6-b327-4190-8f27-563a946e7be2,yes,9
a082d2b9-9f5d-4013-b74c-cf745d09d340,ocd-vote/d2b6a511-d297-4822-8ec2-aa0cbbf82c85,no,12
c071b521-6c52-43b1-a0f9-7c2ad06b6dd9,ocd-vote/d2b6a511-d297-4822-8ec2-aa0cbbf82c85,yes,12
0889fdb0-4813-4494-8401-fa8b6bc0bfbd,ocd-vote/dd26d941-4459-4162-b8a4-fde713307273,no,0
32f2bb59-205d-4ec6-bfac-9d41d36a528d,ocd-vote/dd26d941-4459-4162-b8a4-fde713307273,yes,24
866d1557-e166-40d7-a8c9-c8f35991a490,ocd-vote/24f85aac-50be-43f5-a884-9ec255813873,other,23
4f613694-6b09-4d8b-a83f-0cfbe15d3544,ocd-vote/24f85aac-50be-43f5-a884-9ec255813873,no,179
50cf32e3-ee9e-4a04-b8f7-e1e8fb298296,ocd-vote/24f85aac-50be-43f5-a884-9ec255813873,yes,193
fef863c3-7f0e-4ded-a16c-825bf71a738f,ocd-vote/731ad1b9-85da-4054-94fe-62595167d09c,no,1
04a54e96-3659-4eec-9a34-6f858c605dee,ocd-vote/731ad1b9-85da-4054-94fe-62595167d09c,yes,23
e2b521e6-a03d-40f9-9927-c22b4afba60e,ocd-vote/f9a90958-4628-4cdf-bb25-bd353f63a937,no,0
74d9b704-b048-48d4-9d48-5564bfdbe7e5,ocd-vote/f9a90958-4628-4cdf-bb25-bd353f63a937,yes,24
6a9b5711-2e24-4724-a91a-450ad05b6a28,ocd-vote/60b3d7e6-8ea7-4107-836e-4bc6d26bb1f6,no,4
821b35a2-c049-420f-bc1e-980e38d47b08,ocd-vote/60b3d7e6-8ea7-4107-836e-4bc6d26bb1f6,yes,20
af73a4a1-6ec7-4a27-8e8b-03e7db85d0b8,ocd-vote/1cc43206-6251-48cf-83b0-c1f1120d4262,other,40
6cd7773f-5343-461e-a793-dd3b621a806e,ocd-vote/1cc43206-6251-48cf-83b0-c1f1120d4262,no,162
df4eca6d-00e3-49eb-a67b-54638d6ef95e,ocd-vote/1cc43206-6251-48cf-83b0-c1f1120d4262,yes,191
eea9a140-5faf-4090-97ea-2be38370e07e,ocd-vote/a78dab9b-b874-4785-ba93-65cb06836640,other,1
99c49bb6-ae08-462c-adb1-7e2519f5f293,ocd-vote/a78dab9b-b874-4785-ba93-65cb06836640,no,0
54c05b62-06e6-4f2b-86dd-0c8aec01de47,ocd-vote/a78dab9b-b874-4785-ba93-65cb06836640,yes,23
43579afb-aac5-4b64-b820-e64e651a6d57,ocd-vote/2316517d-1de9-479e-b256-989d8edde524,no,10
9a9df2cd-e31a-49b4-84ce-449542f696bf,ocd-vote/2316517d-1de9-479e-b256-989d8edde524,yes,14
579969a3-02fb-4cd9-92dd-191a7d8a1d5d,ocd-vote/dd57d31d-a764-400c-9b39-3b248184f73b,no,10
