created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2017-07-13 05:16:37.679581+00:00,2017-07-13 05:16:37.679595+00:00,{},ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,New Hampshire General Court,,ocd-jurisdiction/country:us/state:nh/government,legislature,[],[],[]
2017-07-13 05:16:37.711643+00:00,2020-04-29 05:15:06.099113+00:00,{},ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,House,ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,ocd-jurisdiction/country:us/state:nh/government,lower,[],[],[]
2021-11-22 11:16:30.922805+00:00,2023-01-19 12:27:53.967548+00:00,{},ocd-organization/428ec19e-5b0e-466b-ba1a-e7a8cb992099,Finance,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=32', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=32', 'note': 'homepage'}]",[]
2017-07-13 05:16:37.717441+00:00,2020-04-29 05:15:06.786088+00:00,{},ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,Senate,ocd-organization/d8dce079-d59d-407c-be93-9d3fce72bd48,ocd-jurisdiction/country:us/state:nh/government,upper,[],[],[]
2020-08-03 17:48:24.924025+00:00,2020-08-03 17:48:24.924050+00:00,{},ocd-organization/59217435-34d3-59ec-9673-733ae8b276d3,Office of the Governor,,ocd-jurisdiction/country:us/state:nh/government,executive,[],[],[]
2021-11-22 11:16:28.526885+00:00,2023-01-19 12:27:41.842967+00:00,{},ocd-organization/541d5679-521f-4b54-a0de-6e7199411374,"Health, Human Services and Elderly Affairs",ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=4', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=4', 'note': 'homepage'}]",[]
2021-11-22 11:16:28.950697+00:00,2023-01-19 12:27:41.468224+00:00,{},ocd-organization/4f1c2bc7-0525-4687-b9db-b9266b583490,Criminal Justice and Public Safety,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=17', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=17', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.358653+00:00,2023-01-19 12:27:46.320963+00:00,{},ocd-organization/fbe65712-5957-4464-bed7-ae1c8b27a48f,Judiciary,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=5', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=5', 'note': 'homepage'}]",[]
2021-11-22 11:16:29.774640+00:00,2023-01-19 12:27:42.576524+00:00,{},ocd-organization/91200dc3-61f6-455a-b37b-97b9b627aa89,Commerce and Consumer Affairs,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=29', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/house/committees/committeedetails.aspx?id=29', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.662606+00:00,2023-01-19 12:27:52.142237+00:00,{},ocd-organization/7ea7aebb-3f3f-49ec-99ba-423cd633ae5a,Election Law and Municipal Affairs,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=1421', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=1421', 'note': 'homepage'}]",[]
2021-11-22 11:16:30.791075+00:00,2023-01-19 12:27:54.701440+00:00,{},ocd-organization/f19039a0-0332-43e3-ac6a-3ebe0f5e83e6,Capital Budget,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-jurisdiction/country:us/state:nh/government,committee,"[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=30', 'note': ''}]","[{'url': 'http://www.gencourt.state.nh.us/Senate/committees/committee_details.aspx?cc=30', 'note': 'homepage'}]",[]
