id,bill_id,note,date,classification,extras
426a535c-f1a9-49b1-b33a-bb4442ebe2d0,ocd-bill/820a68d0-e279-413c-bf7b-7e35d4969bb3,amendment 2024-1564s,,,{}
64636f34-59f2-49cc-bb86-7dc974f0a8da,ocd-bill/e7d458a5-030f-4358-b6d7-5d365863ed42,amendment 2024-1723s,,,{}
9c0d9d50-4b76-4550-8b77-778b4bac51e4,ocd-bill/af2b3e88-104e-4e8f-91d9-a6ef540b1a02,amendment 2024-1845s,,,{}
4791aded-643b-404b-b9e3-06ab6441f7e0,ocd-bill/ccb01971-04d2-4386-a061-40ffc02eef9e,amendment 2024-1707s,,,{}
95bc948a-50c7-437a-b856-bf1302a1d8dd,ocd-bill/934e773c-3fe9-4992-afc3-ccf378afa041,amendment 2024-1643s,,,{}
46628bd3-eab9-47aa-8b3a-9e3a9d63d2a2,ocd-bill/235a1f5f-817e-4c9e-86a6-9e45b6011f58,amendment 2024-1560s,,,{}
c570a2b6-8e47-4592-8eda-83f620e572ab,ocd-bill/cf9277d2-63f5-4ccb-b52d-d0b66860632e,amendment 2024-1561s,,,{}
69a50ed0-bf7c-4588-a440-a30f0365b48b,ocd-bill/3d5ca8ea-d2b9-4645-8fbf-1959b1d6aeaf,amendment 2024-1528s,,,{}
4f74e687-825a-4aca-b648-cee9b849a100,ocd-bill/9c8918a8-94d0-4263-89f4-b012cf0aca3e,amendment 2024-1000s,,,{}
2d65f07e-98a5-4256-8b9a-37d79fd30628,ocd-bill/dafbebc4-26c5-46e5-9ace-b748bddce217,amendment 2024-1537s,,,{}
1288345b-4489-4a26-a0d0-4dc7a292a4fa,ocd-bill/99477919-281f-4a84-96e2-fae202527058,amendment 2024-1727s,,,{}
08724a15-f43b-4515-bfa0-7f3e6974db6e,ocd-bill/fb6065c0-1a13-48a7-8e8a-2dc642aed4c2,amendment 2024-1850s,,,{}
8b3fcf25-61e6-4467-b707-3d2a63fd3a6b,ocd-bill/8f5b9328-9a17-4a02-9603-8dbed437e637,amendment 2024-1701s,,,{}
a4415a35-dce2-411f-8628-6c9df28508f8,ocd-bill/192ee747-e8c4-4f81-b860-855d18790362,amendment 2024-1827s,,,{}
1cdbbbd1-5441-4f1c-994c-fde9fd20ce05,ocd-bill/df2db8a4-a974-4519-954c-a573ea3b1a63,amendment 2024-1816s,,,{}
f7ec6a61-2ac7-4ffe-b096-4aed44e10ef8,ocd-bill/f828c43f-83db-4f4d-a9ea-f024fb6c6055,amendment 2024-1826s,,,{}
64999891-3c4e-4c9a-9b3b-04c783c99f76,ocd-bill/adcfdc3e-19b5-481d-bc96-986d3910945a,amendment 2024-1612s,,,{}
28ee0a72-473d-4750-981b-42602e000ad5,ocd-bill/60c7580f-50bb-4559-ae28-a3595e87d4eb,amendment 2024-1871s,,,{}
51d90b5f-4cf2-4f89-be66-66dbb4b909c4,ocd-bill/f49c32c5-ca67-4a2e-93a9-1c2efee031d6,amendment 2024-1485s,,,{}
4f682c33-3075-44c0-873e-8dc7d205242f,ocd-bill/599962e8-1013-46ca-b265-6d18f38302e0,amendment 2024-1615s,,,{}
98034121-55e1-42b0-be65-3142c91b0c33,ocd-bill/7d8fefd9-670e-42d4-b040-6684487f3e99,amendment 2024-1829s,,,{}
e015812a-29bc-4763-9785-c4a320772690,ocd-bill/e9fbb47d-e588-41b7-9285-db654cbfd891,amendment 2024-0990s,,,{}
21c763a8-d281-4a0f-bdc0-d9f9d31e9261,ocd-bill/f9794246-dfdc-4053-b02d-cb3c9259d158,amendment 2024-1137s,,,{}
9617f16f-ff48-4921-8f01-2856a4ad1886,ocd-bill/8ed01851-d29e-4aea-9773-eca40617a6bf,amendment 2024-1627s,,,{}
5eccd9ea-aa56-4fe6-86ce-0e154a6ea9d9,ocd-bill/cfbcb422-6717-4ac4-b100-497fe63fc8c9,amendment 2024-1032s,,,{}
6b8148f9-47de-4e22-8fc5-9bcc799393be,ocd-bill/e93f5a71-98fd-4f67-84c7-f079e5b36a89,amendment 2024-1621s,,,{}
c130429f-8804-47d1-bf00-005a5fb19f85,ocd-bill/89c5d22d-b3fc-4a4d-86c1-2e25fe90f8a5,amendment 2024-0983s,,,{}
9229be12-bb2b-4a3d-8f7d-e009d6ed3127,ocd-bill/5b72d5af-b5b1-47f1-bc05-5b5c95ffcdb1,amendment 2024-1824s,,,{}
dd88c57f-54d9-467c-bece-bd161cd1d1ce,ocd-bill/c0f112e1-56a2-4656-9a86-e8820e249c2b,amendment 2024-1477s,,,{}
1383ceda-937c-43bd-9b92-b63c21122e7e,ocd-bill/9b6dfe4f-aa71-450c-be2b-2b326f0c172f,amendment 2024-1648s,,,{}
674b6461-620a-497a-88a0-58f42a9926b9,ocd-bill/066d3970-e09d-4db6-8c6b-215186ee2dca,amendment 2024-1629s,,,{}
31cb76bd-7b9b-40e6-a978-03df859cb955,ocd-bill/d20d7af1-bccf-46b6-ba3e-cc7d7e04aba7,amendment 2024-1808s,,,{}
438ebd0e-12ff-41c4-87a2-62b8a5750883,ocd-bill/0c4822d8-9efe-4e99-a9fc-359ecea20962,amendment 2024-0984s,,,{}
a11373b2-de94-41bc-86f1-7ec807b25746,ocd-bill/d56460e9-514b-4cc0-a03f-8fa7dff6e693,amendment 2024-0966s,,,{}
9267074a-aff9-4a1b-8296-c27fd2279b26,ocd-bill/98d5181a-8cdd-44fe-af87-57be7c8934f3,amendment 2024-1421s,,,{}
97bf31a3-862d-4ca2-bd15-30d0fc80fbda,ocd-bill/98d5181a-8cdd-44fe-af87-57be7c8934f3,amendment 2024-1111s,,,{}
d8f620bb-d94a-42b4-afd3-de47078b0568,ocd-bill/15f8bab6-f518-4cf2-ae63-c4454d971a3d,amendment 2024-0993s,,,{}
b2fe99bd-d615-495d-958c-8d6c69e7e876,ocd-bill/dea76dc6-6b87-4e8c-a931-3221101824c3,amendment 2024-1828s,,,{}
722ce158-462f-4391-935a-86f392eca48c,ocd-bill/e857bc59-6e35-4eb4-a27e-885113bc4557,amendment 2024-1732s,,,{}
b7800c90-eaed-4cf6-a78e-6903c32acc97,ocd-bill/ac2004c2-8792-4264-86d4-ba5d167042a1,amendment 2024-1606s,,,{}
732cec74-3e9e-4e42-9501-2a97ee64452a,ocd-bill/5f8a7ed7-d37c-4c18-84c1-fb0659b771e3,amendment 2024-1877s,,,{}
2621a284-3b75-4751-881b-c6c0630fc202,ocd-bill/4709d250-d041-49fd-8296-a16b3d842c16,amendment 2024-1716s,,,{}
74b5b460-8d06-415d-8ea4-1206b4f357e3,ocd-bill/e3865e55-48c1-43fe-b1bf-4f20b1c08eb5,amendment 2024-1112s,,,{}
179d94a5-73e2-4947-b677-1c0c49f92674,ocd-bill/1f2b204c-fa77-46cf-869d-8e3346d220b1,amendment 2024-1817s,,,{}
ce8622d2-2e1d-4352-a6fa-a2c8b61e5653,ocd-bill/545de3ff-8000-467d-b90f-b02b90fdd72a,amendment 2024-1619s,,,{}
bfedd91f-a8fd-4079-9b2f-322a4ddde6e1,ocd-bill/77e9f02e-bb7a-4e8b-bf0c-0d36c7f8a2c1,amendment 2024-1624s,,,{}
ad4acb70-ed05-4076-8342-72b08fe6253f,ocd-bill/d7b48ce9-1792-4c55-8f67-7c22cee3b30f,amendment 2024-1876s,,,{}
1eda0b63-5c44-41d7-b664-ee9c49a3e5e9,ocd-bill/d8acd3f8-8e1f-4376-8ad9-a8cdaadfeb0b,amendment 2024-1101s,,,{}
9b09f0a6-c217-4e4b-b594-fe1c27b22600,ocd-bill/6d39abce-c844-4000-beee-da8b1e2ced98,amendment 2024-1089s,,,{}
a80aaf4a-2708-4ae8-bc0d-0ed3f44513dd,ocd-bill/cef67f62-7f89-4aa8-ab0a-3a6cc0c0a4f2,amendment 2024-1608s,,,{}
75f09ce9-26c4-4fe8-9354-2376e8e7c4a7,ocd-bill/194de3ad-8aea-4708-ac19-3d7714f14546,amendment 2024-1874s,,,{}
0be58192-72a0-4562-853a-bddc156167f9,ocd-bill/170e618d-fc3b-405a-a68e-317382d4d1a8,amendment 2024-1614s,,,{}
ed6d9198-f5d1-457b-bb34-dc54c30ec3e6,ocd-bill/ad7f8bee-0048-4303-a6a5-3bdd60ade1bc,amendment 2024-1985s,,,{}
81ee0a92-2143-4008-9cdb-68812568fde7,ocd-bill/ad7f8bee-0048-4303-a6a5-3bdd60ade1bc,amendment 2024-1868s,,,{}
07615a06-e58f-453f-a05e-df62a25f325a,ocd-bill/8f0f49bc-3e5f-4e69-a754-6d6360e7f449,amendment 2024-2095s,,,{}
ee372b23-5c08-48a7-8a2b-cceb09042a7f,ocd-bill/ac65c684-d096-4233-b740-ee8910a520d6,amendment 2024-1618s,,,{}
151cad44-0051-4135-a911-fee0eb73aee3,ocd-bill/ac656fff-f45d-400e-a3c9-a205415fc268,amendment 2024-1821s,,,{}
840760c6-4d2b-414b-ae16-243015c7e259,ocd-bill/6e21d9b5-e4e8-4603-88f1-5744b2a3f141,amendment 2024-0974s,,,{}
41b6588d-3158-48a8-b6d3-b27963e39266,ocd-bill/e4d15cd9-2dc9-47a6-a876-4e92b4117567,amendment 2024-1870s,,,{}
930fec1d-27d3-4413-b9c3-3b78ed21b626,ocd-bill/55a86de8-52e8-4d8b-baa2-e28f0ae2056c,amendment 2024-1849s,,,{}
b9e522ca-e001-4c87-9700-0d6e30035adf,ocd-bill/282550de-3c64-4aae-9373-1f90bb3eefc0,amendment 2024-1036s,,,{}
fe7fb990-ac1e-4abe-b430-12babf61e473,ocd-bill/2b7f957f-e312-4ea3-a8f9-2b6e7283d2cb,amendment 2024-1623s,,,{}
