id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/12bd05ac-05c3-4baa-b315-10d7c3b20815,HB 1396,relative to prohibiting municipal inspections of owner-occupied units of multi-unit housing.,['bill'],[],2024,New Hampshire,lower
ocd-bill/7f88641e-defb-459a-99bc-468a945c0968,HB 1634,relative to universal eligibility for the education freedom account program.,['bill'],[],2024,New Hampshire,lower
ocd-bill/8154f781-aeb1-492e-b854-1f3ecda2da9e,SB 493,relative to establishing municipal emergency disaster relief loan fund to aid municipalities in a natural disaster.,['bill'],[],2024,New Hampshire,upper
ocd-bill/7a0c21ab-c1bd-4620-8c3d-63a97bd0d80a,SB 158,relative to absentee ballot outer envelopes.,['bill'],[],2024,New Hampshire,upper
ocd-bill/d03d66cd-b1c4-4f69-8bb5-a761543ccf3d,SB 343,relative to school based health services.,['bill'],[],2024,New Hampshire,upper
ocd-bill/f1a5d0e6-a1f8-4a65-a35f-3a8beb6fdb67,SB 448,relative to the Woodsville fire district.,['bill'],[],2024,New Hampshire,upper
ocd-bill/45c23385-3a44-4784-aacc-1bae04432a65,HB 1515,relative to the meals and rooms tax rate.,['bill'],[],2024,New Hampshire,lower
ocd-bill/899b4339-b6dd-498b-b5ac-37c87ad75142,HB 527,relative to Medicaid reimbursement rates for certain assisted living facilities.,['bill'],[],2024,New Hampshire,lower
ocd-bill/8ff516ef-027a-4182-87a9-8095a2889951,HB 493,eliminating the state meat inspection program.,['bill'],[],2024,New Hampshire,lower
ocd-bill/e43af548-07a3-4433-8761-759b59f03c5f,HB 1562,relative to personal watercraft.,['bill'],[],2024,New Hampshire,lower
ocd-bill/c58ab260-931b-458f-a7e0-cff71b1af48e,HB 462,making an appropriation to the solid waste management fund and targeting food waste reduction and diversion.,['bill'],[],2024,New Hampshire,lower
ocd-bill/a4c1f400-423d-4c29-b73e-34758b4ca73b,HB 1578,relative to organic food certification and labeling.,['bill'],[],2024,New Hampshire,lower
ocd-bill/344036c3-b244-424c-9bb5-4ee83c33a270,HB 1401,relative to the transfer of Silver Lake Park in the town of Hollis.,['bill'],[],2024,New Hampshire,lower
