id,vote_event_id,option,voter_name,voter_id,note
4e0cd981-0eb4-468a-8f91-fc65fc5ae376,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Phyllis M. Katsakiores,ocd-person/19404ada-b556-4609-9814-f19db9c0a0ad,
ce88c075-18e7-4e0e-9f32-18cf8a1be132,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Daniel A. Eaton,ocd-person/566f423e-75f7-474c-b57f-7e53bffcd411,
e8c81ac7-0c71-4c1b-9340-39e3e2226657,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Mary Jane Wallner,ocd-person/0e6f806c-ba57-4dc6-b6b4-f2a926288ca3,
21f0444d-8fb8-4cdc-a9ce-bffdba3bdb4c,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,John B. Hunt,ocd-person/35c51630-9b9c-411a-9b98-0842cb6093df,
53609ead-7004-41b9-91a1-ee905006d245,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Janet G. Wall,ocd-person/2830876f-1a4d-4332-ae2a-a97607c4e1b9,
cf2bcd4c-28d9-485e-9002-a1bbdc1d40e7,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Kenneth L. Weyler,ocd-person/e2f9dd7e-b221-4cf0-b7de-5daa70658669,
759549ab-f285-4958-b4a9-f0b449370f31,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Benjamin C. Baroody,ocd-person/018987e5-d731-41ed-8cce-b3266df24b64,
79fe69b2-7ed1-4a4f-bead-2a008e72e4db,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Sherman A. Packard,ocd-person/e94c1d98-5454-40a2-8293-ee0998fee8ca,
5f8e2878-cdb1-4794-b575-ae613f4020de,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,John Sytek,ocd-person/81a14b0b-f5dd-4e7a-b500-c9dc0a56c2be,
1e00dad7-e7e9-4026-825b-96e47d51da08,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,John R. Cloutier,ocd-person/d3dab509-1268-4b4f-b363-98932002bf2e,
40f0cb50-4398-4f52-bdb5-f81a2b5e3e3a,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,James R. MacKay,ocd-person/c027d650-709d-440f-8740-84b3e11406ba,
150983c0-0cc3-402b-8d35-4be596b8d91c,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,David A. Bickford,ocd-person/e31ccc42-68c0-4f1c-b78d-c857f0060df0,
380b767d-6d9c-43bd-b521-e14ef48d4e67,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Susan W. Almy,ocd-person/e13283b4-defe-4f4e-8e67-4d89b8e3790c,
38a7fd75-ddfa-4bc9-a99e-f8b427562006,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Joseph A. Guthrie,ocd-person/772f5157-b959-4aed-beaa-6bd67ab8fefe,
bb953947-ee4f-486a-ae8b-d359f0048572,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,Peter R. Leishman,ocd-person/86708f42-531f-4e57-a6b1-f5b11ff9389c,
e52e7e36-c0c0-46e9-ae34-e461f37fd09d,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Tim S McGough,ocd-person/18d80f49-9f78-441e-bf28-1ed0929b5fd3,
d5c18b78-0a1e-43a2-8663-fab9ece0d8da,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Marjorie K. Smith,ocd-person/86b31d04-3a4b-4199-b10e-27bd337f0a34,
b0b2baab-db3b-443c-98ae-945776cda395,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,yes,Jeffrey P. Goley,ocd-person/903e02f2-e17d-41f4-bd94-f91557c0e1fd,
f14e4203-0dc3-40a6-8166-2f0c744df109,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,no,Michael D. Harrington,ocd-person/21e95dbc-c226-4f4a-9fa2-8f5b374d0a98,
3abd5b7c-5629-453a-8f54-090594c47600,ocd-vote/8341f6f8-7e0b-4753-95f0-58f4810d47fa,other,William J. Infantine,ocd-person/93966021-59f3-4dbf-9cae-3cb69f19585d,
