id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/e81c0ce5-0e9d-48b7-9716-f4420c49b33c,,Laid on Table,['passage'],2024-01-03T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/44d9ec3f-f80f-4522-96c5-7fecdc87b93c,,New Hampshire,2024
ocd-vote/40290dd4-86ef-4c1e-bdf7-7aed50527b05,,Floor Amendment,['passage'],2024-01-03T00:00:00-05:00,pass,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/6a65ea05-44ce-4766-9887-6089bc465e4f,,New Hampshire,2024
ocd-vote/279c9179-d354-4014-94ab-07f9df1a31b8,,Inexpedient to Legislate,['passage'],2024-01-03T00:00:00-05:00,fail,ocd-organization/c95932a0-2ac1-4f14-a0c4-ade8568daac6,ocd-bill/6a65ea05-44ce-4766-9887-6089bc465e4f,,New Hampshire,2024
ocd-vote/46591385-98ec-4feb-b008-d27fdac534bd,,OTPA,['passage'],2024-01-03T09:51:08-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/e869b963-eacc-42e3-a643-80b6513d039d,,New Hampshire,2024
ocd-vote/37776287-dd98-4c8a-8c94-f66406dbc0ac,,Interim Study,['passage'],2024-01-03T10:04:53-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/0f6929fa-9045-4053-9257-8aeca5985252,,New Hampshire,2024
ocd-vote/4bef4718-8fed-4c0a-870e-64ee2ae7fafe,,OTPA,['passage'],2024-01-03T10:57:33-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/790e09ac-8e00-4a20-97d8-56be3fd9ec0d,,New Hampshire,2024
ocd-vote/a86fbb3f-0a91-4495-8746-19f940290e34,,OTPA,['passage'],2024-01-03T11:17:53-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/3cef71bc-4d45-4ae8-905b-16d1cc3c3f51,,New Hampshire,2024
ocd-vote/2886d7dc-2f07-47af-81ff-60d0bd98c6bd,,OTP,['passage'],2024-01-03T11:42:50-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/2a1942e1-4d67-4489-a599-1a390d1bb8d2,,New Hampshire,2024
ocd-vote/ba0b83c5-4f27-4ca8-bc96-5190eb0e328b,,ITL,['passage'],2024-01-03T11:45:09-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/2a1942e1-4d67-4489-a599-1a390d1bb8d2,,New Hampshire,2024
ocd-vote/36b071a9-0e2f-4d7e-94c6-a1f0e18ae30a,,OTP,['passage'],2024-01-03T11:59:22-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/0485c985-737a-41a5-8408-952b36c25154,,New Hampshire,2024
ocd-vote/c9429485-bd2a-4787-9633-025fb2b77957,,Reconsider,['passage'],2024-01-03T12:02:19-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/0485c985-737a-41a5-8408-952b36c25154,,New Hampshire,2024
ocd-vote/5b18fdad-29a0-4e46-ad9b-54de9ac97b8e,,ITL,['passage'],2024-01-03T13:52:21-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/6224aa5c-35a9-4098-a85b-e849037dcf57,,New Hampshire,2024
ocd-vote/23022a17-f15d-4f5f-8d89-738a6e0e2c6e,,ITL,['passage'],2024-01-03T14:01:11-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/65ceb865-88c0-4eb9-b22a-8020504977ee,,New Hampshire,2024
ocd-vote/574a57a1-3c82-483c-b48f-6ef62f7c31b3,,OTPA,['passage'],2024-01-03T14:39:41-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/710e13c3-3997-44c3-a3f0-6e4d5c608e4a,,New Hampshire,2024
ocd-vote/01e60123-15dc-4d05-b8cc-fe97e05d6ef1,,Adopt Amendment,['passage'],2024-01-03T15:19:18-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/7ae162c8-73a2-4bb4-8958-b54277fb2031,,New Hampshire,2024
ocd-vote/881e681a-e92b-4a70-bf7b-3b0829bcc8a1,,Indefinitely Postpone,['passage'],2024-01-03T15:23:59-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/7ae162c8-73a2-4bb4-8958-b54277fb2031,,New Hampshire,2024
ocd-vote/2f0a9109-7037-4b0b-bcc9-c8f058fe4007,,ITL,['passage'],2024-01-03T15:55:46-05:00,fail,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/2aa187f4-eea4-4358-be41-0da3e5d46162,,New Hampshire,2024
ocd-vote/f33b0492-5490-4da8-8110-44cc0c004944,,Table,['passage'],2024-01-03T15:58:08-05:00,pass,ocd-organization/3b857974-4029-4508-94d4-ce3b86c64602,ocd-bill/2aa187f4-eea4-4358-be41-0da3e5d46162,,New Hampshire,2024
